Date,Open,High,Low,Close,Adj Close,Volume
2022-04-07,68500.000000,68500.000000,68000.000000,68000.000000,66708.421875,20683327
2022-04-08,68100.000000,68300.000000,67700.000000,67800.000000,66512.226563,15453191
2022-04-11,67800.000000,68100.000000,67400.000000,67900.000000,66610.328125,12263735
2022-04-12,67600.000000,67700.000000,67000.000000,67000.000000,65727.421875,13924389
2022-04-13,67300.000000,69000.000000,67200.000000,68700.000000,67395.132813,17378619
2022-04-14,68700.000000,68700.000000,67500.000000,67500.000000,66217.921875,16409494
2022-04-15,67200.000000,67300.000000,66500.000000,66600.000000,65335.023438,13176415
2022-04-18,66500.000000,67100.000000,66100.000000,66700.000000,65433.113281,10119203
2022-04-19,67100.000000,68000.000000,67000.000000,67300.000000,66021.726563,12959434
2022-04-20,67000.000000,67400.000000,66500.000000,67400.000000,66119.828125,16693293
2022-04-21,67600.000000,68300.000000,67500.000000,67700.000000,66414.125000,12847448
2022-04-22,67200.000000,67300.000000,66700.000000,67000.000000,65727.421875,11791478
2022-04-25,66500.000000,66700.000000,66300.000000,66300.000000,65040.714844,11016474
2022-04-26,66400.000000,66700.000000,66100.000000,66100.000000,64844.515625,12946923
2022-04-27,65400.000000,65500.000000,64900.000000,65000.000000,63765.410156,18122084
2022-04-28,65400.000000,65500.000000,64500.000000,64800.000000,63569.210938,16895527
2022-04-29,65100.000000,67600.000000,65000.000000,67400.000000,66119.828125,26190390
2022-05-02,66600.000000,67600.000000,66500.000000,67300.000000,66021.726563,14106184
2022-05-03,67400.000000,68400.000000,67300.000000,67500.000000,66217.921875,14168875
2022-05-04,68000.000000,68400.000000,67500.000000,67900.000000,66610.328125,11505248
2022-05-06,67000.000000,67100.000000,66500.000000,66500.000000,65236.914063,14356156
2022-05-10,65900.000000,66300.000000,65300.000000,65700.000000,64452.113281,17235605
2022-05-11,65500.000000,66300.000000,65200.000000,65700.000000,64452.113281,12330920
2022-05-12,65200.000000,65500.000000,64900.000000,64900.000000,63667.308594,16414188
2022-05-13,65300.000000,66700.000000,65200.000000,66500.000000,65236.914063,14551536
2022-05-16,67100.000000,67400.000000,66100.000000,66300.000000,65040.714844,11937555
2022-05-17,66600.000000,67900.000000,66600.000000,67600.000000,66316.023438,15680447
2022-05-18,68300.000000,68700.000000,67600.000000,68100.000000,66806.531250,16486319
2022-05-19,66500.000000,67600.000000,66500.000000,67500.000000,66217.921875,17073727
2022-05-20,67800.000000,68400.000000,67700.000000,68000.000000,66708.421875,12109671
2022-05-23,68800.000000,68800.000000,67600.000000,67900.000000,66610.328125,13684088
2022-05-24,67500.000000,67700.000000,66500.000000,66500.000000,65236.914063,15482576
2022-05-25,66700.000000,67100.000000,65900.000000,66400.000000,65138.816406,15150490
2022-05-26,66300.000000,67200.000000,65500.000000,65900.000000,64648.316406,15970890
2022-05-27,66700.000000,66900.000000,66200.000000,66500.000000,65236.914063,11405555
2022-05-30,67500.000000,67800.000000,66900.000000,67700.000000,66414.125000,14255484
2022-05-31,67500.000000,67500.000000,66700.000000,67400.000000,66119.828125,24365002
2022-06-02,66600.000000,67000.000000,66400.000000,66700.000000,65433.113281,14959443
2022-06-03,67200.000000,67300.000000,66800.000000,66800.000000,65531.222656,8222883
2022-06-07,66200.000000,66400.000000,65400.000000,65500.000000,64255.910156,19355755
2022-06-08,65400.000000,65700.000000,65300.000000,65300.000000,64059.707031,12483180
2022-06-09,65100.000000,65200.000000,64500.000000,65200.000000,63961.609375,25790725
2022-06-10,64000.000000,64400.000000,63800.000000,63800.000000,62588.199219,22193552
2022-06-13,62400.000000,62800.000000,62100.000000,62100.000000,60920.488281,22157816
2022-06-14,61200.000000,62200.000000,61100.000000,61900.000000,60724.289063,24606419
2022-06-15,61300.000000,61500.000000,60200.000000,60700.000000,59547.082031,26811224
2022-06-16,61300.000000,61800.000000,60500.000000,60900.000000,59743.285156,23394895
2022-06-17,59400.000000,59900.000000,59400.000000,59800.000000,58664.175781,29053450
2022-06-20,59800.000000,59900.000000,58100.000000,58700.000000,57585.070313,34111306
2022-06-21,58700.000000,59200.000000,58200.000000,58500.000000,57388.867188,25148109
2022-06-22,59000.000000,59100.000000,57600.000000,57600.000000,56505.960938,23334687
2022-06-23,57700.000000,58000.000000,56800.000000,57400.000000,56309.757813,28338608
2022-06-24,57900.000000,59100.000000,57700.000000,58400.000000,57290.769531,23256103
2022-06-27,59000.000000,59900.000000,58300.000000,58800.000000,57683.171875,18122236
2022-06-28,59200.000000,59500.000000,58700.000000,59400.000000,58271.773438,13540538
2022-06-29,58500.000000,58800.000000,58000.000000,58000.000000,57246.277344,14677138
2022-06-30,57200.000000,57600.000000,57000.000000,57000.000000,56259.273438,18915142
2022-07-01,56900.000000,57500.000000,55900.000000,56200.000000,55469.667969,24982097
2022-07-04,56100.000000,57400.000000,55700.000000,57100.000000,56357.972656,17807126
2022-07-05,57600.000000,58200.000000,57200.000000,57200.000000,56456.675781,14216539
2022-07-06,57300.000000,57300.000000,56400.000000,56400.000000,55667.070313,16820461
2022-07-07,56400.000000,58700.000000,56300.000000,58200.000000,57443.679688,21322833
2022-07-08,58600.000000,59300.000000,58200.000000,58700.000000,57937.183594,15339271
2022-07-11,59300.000000,59600.000000,58700.000000,58800.000000,58035.882813,13042624
2022-07-12,58600.000000,58700.000000,58100.000000,58100.000000,57344.976563,9336061
2022-07-13,58300.000000,58600.000000,58000.000000,58000.000000,57246.277344,10841315
2022-07-14,57500.000000,58200.000000,57400.000000,57500.000000,56752.773438,15067012
2022-07-15,58400.000000,60000.000000,58100.000000,60000.000000,59220.289063,18685583
2022-07-18,60600.000000,62000.000000,60500.000000,61900.000000,61095.597656,20832517
2022-07-19,61400.000000,61500.000000,60200.000000,60900.000000,60108.589844,15248261
